Titre;descriptif du projet;Nature;Thématiques;Etat de la consultation publique;Type de procédure;Maîtrise d’ouvrage;Auteur;Nom du bureau d’étude;Diffuseur;Date de diffusion;Source;Date avis publication;departement_de_la_prefecture;dateouverture;datefermeture;SIREN
"Renouvellement et extension de carrière et cessation partielle d'activité de la carrière du"" Planton""";"1 -le projet : présentation générale

La carrière de « Le Planton » et son projet d’extension se situent sur la commune de MONTLIEU-LA-GARDE sur les sections W (Le Maine du Bois) et X (Au Planton). L’usine de transformation de CLÉRAC vers laquelle sont acheminés les matériaux argileux extraits se situe à environ 5 km au sud-est de la carrière.

Le projet d’extension, d’une surface de 14,3 ha, est contigu à l’emprise de la carrière actuelle, dans le prolongement de la zone nord en cours d’extraction. La superficie exploitable représente environ 8 ha. L’exploitation de l’extension nécessitera le défrichement d’une surface de l’ordre de 9 ha.Il concerne également le renouvellement d’une partie de la carrière autorisée, soit environ 21 ha.L’ancienne verse à stériles remise en état en 2017 est renoncée dans le cadre de la présente demande. 

La durée demandée pour cette exploitation est de 15 ans à partir de la date d’autorisation compte tenu des réserves, et de la production moyenne sollicitée pour les argiles de 30 000 tonnes en moyenne et à 60 000 tonnes au maximum, et pour le sables valorisable de 110 000 tonnes en moyenne avec des pointes possibles à 160 000 tonnes/an.



2- Description du contexte environnemental

Le site du projet est localisé dans un milieu boisé qui appartient au massif des Landes de Montendre ; vaste ensemble sylvicole développé sur des terrains tertiaires. La carrière de « Le Planton » est délimitée par des boisements, des chemins d’exploitation, et au nord-ouest par la carrière de « Vrignon ». Les parcelles sollicitées à l’extension sont à l’image de la périphérie du site boisées. Le projet se situe sur le flanc est de la vallée de la Coudrelle. Les boisements sont parcourus par de nombreux fossés qui drainent ces espaces lors des épisodes pluvieux. Le projet d’extension est directement concerné par deux de ces fossés. 

L’habitat aux abords du projet est distant de plus de 400 mètres. Les hameaux les plus proches sont Millon à environ 480 m au sud, le Taupier à environ 570 m au nord-est, et Vrignon à environ 450 m au nord-ouest.

Le projet d’extension de la carrière de « Le Planton » s’insère dans un milieu :

- Physique, peu sensible : 

le site exploite des formations tertiaires peu aquifères (libres ou captives) de quelques dizaines de mètres d’épaisseur. Ces formations ne sont pas exploitées pour l’usage AEP, et ne présentent pas aux abords proches du site d’ouvrages de prélèvements individuels. Cette nappe est alimentée directement par infiltration des eaux météoriques sur les zones d’affleurement, 

    -  le projet ne concerne pas de périmètre de protection de captage AEP (absence de lien avec les formations sous-jacentes du Crétacé),

    -  le réseau hydrographique sur le site et ses abords n’est représenté que par des fossés de drainage à écoulements intermittents quadrillant la forêt et permettant, pour la grande majorité d’évacuer les eaux pluviales lors des épisodes pluvieux. 

- Naturel, sensible à peu sensible :

     - au niveau paysage, le projet d’extension, comme le site actuel, se situe dans l’ensemble paysage des collines boisées de la Double Saintongeaise représenté par des pinèdes et boisements mixtes. Le projet se situe dans un contexte paysager fermé et peu sensible. Il n’est concerné par aucune protection au titre du paysage, 

    - certaines parcelles sollicitées dans le projet présentent des milieux et espèces sensibles et protégées. Des mesures d’évitement, de réduction, d’accompagnement et de compensations seront prises pour limiter l’incidence des activités sur le milieu naturel.

- Humain, peu sensible :

   - habitat distant de plus de 450 mètres de la zone projetée à l’extension,

   - accès au site par des chemins et voies suffisamment dimensionnés, inchangés par rapport à l’actuel,

    - absence de réseau ou de servitude.";"Installations classées pour la protection de l'environnement;Premiers boisements et déboisements en vue de la reconversion de sols";ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;Geoaquitaine;CGDD - MTES;2019-09-20T13:07:10+02:00;téléprocédure demarches-simplifiées;20/09/2019;17 - Charente-Maritime;07/10/2019;06/11/2019;542010053
Projet de traitement des produits de l'assainissement pas un procédé de méthanisation sur le site de la station d'épuration de Valence;Il s’agit d’un projet relevant d’un régime de l’autorisation au titre des rubriques ICPE et IED 2781 et 3532. L’étude d’impact est à ce titre obligatoire. Il s’implante en partie sur le site de la station d’épuration existante de Valence et en partie en extension de celui-ci, au sein de la zone d’activité de Mauboule. Les principaux impacts examinés sur ce projet restent localisés. Il s’agit des odeurs, du trafic, du bruit, des risques technologiques (incendie et explosion). Des mesures de réduction sont mises en œuvre.;Installations classées pour la protection de l'environnement;"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";clos;Autorisation au titre du code de l'environnement;;;Cabinet Merlin;CGDD - MTES;2020-01-06T10:38:41+01:00;téléprocédure demarches-simplifiées;26/09/2019;26 - Drôme;21/10/2019;21/11/2019;487850448
Demande d'autorisation pour renouvellement d'exploitation de la carrière Altkirch;"Le projet porte sur le renouvellement d’autorisation au titre des Installations Classées pour l’extraction de matériaux calcaires et de marnes (rubrique 2510-1) ; le traitement des matériaux (rubrique 2515-1a) ; l’exploitation d’une station de transit de produits minéraux et déchets non dangereux (rubriques 2517-1 et 2716-2) ;

La superficie du projet est d’environ 81 ha et la surface exploitable d’environ 30 ha.

La durée d’autorisation sollicitée est de 10 années.

L’étude d’impact traite de façon exhaustive les incidences du projet sur le sol, les eaux, le paysage, le milieu naturel et les populations concernées.";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-07-04T17:02:24+02:00;téléprocédure demarches-simplifiées;15/11/2018;68 - Haut-Rhin;03/12/2018;07/01/2018;480942788
Parc Eolien des Bouchats 1;Le projet du parc éolien des Bouchats 1 fait l’objet d’une procédure d’autorisation au titre des ICPE, en raison de son activité de production d’électricité à partir de l’énergie éolienne. Il se compose de 3 aérogénérateurs d'une puissance unitaire allant de 2 à 2,6MW.;Installations classées pour la protection de l'environnement;"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";clos;Autorisation au titre du code de l'environnement;;;CALIDRIS;CGDD - MTES;2019-11-08T09:04:42+01:00;téléprocédure demarches-simplifiées;23/03/2019;51 - Marne;08/04/2019;10/05/2019;785355124
Projet éolien de Bersac-sur-Rivalier;Projet de 4 éoliennes de 182 mètres bout de pale maximum, localisé dans le bois du Tutaud à Bersac-sur-Rivalier.;Installations classées pour la protection de l'environnement;"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";clos;Autorisation au titre du code de l'environnement;;;Corieaulys;CGDD - MTES;2019-12-03T16:56:38+01:00;téléprocédure demarches-simplifiées;29/08/2019;87 - Haute-Vienne;16/09/2019;18/10/2019;422752808
Ferme éolienne de Tageau;La Ferme éolienne de Tageau est un projet éolien qui se situe en Nouvelle-Aquitaine, dans le département de la Vienne, sur la commune d’Adriers, à 17 km au Sud-Ouest de Montmorillon. Il est composé de 10 éoliennes de 3.45MW de puissance unitaire. Les éoliennes prévues auront un rotor de 126m de diamètre pour une hauteur en bout de pale de 180m. C'est une installations classés pour la protection de l'environnement ce qui entraine l’obligation de réaliser une étude d'impact. Les principales sensibilités environnementales sont liées à la présence de Chiroptères et d'avifaune sur le site d’implantation.;Installations classées pour la protection de l'environnement;"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";clos;"Autorisation au titre du code de l'environnement;Permis de construire";;;CERA Environnement;CGDD - MTES;2018-12-03T18:19:35+01:00;téléprocédure demarches-simplifiées;14/05/2018;86 - Vienne;04/06/2018;06/07/2018;834159154
Centrale photovoltaïque du Mazet-Saint-Voy;"Le projet concerne la réalisation d’une centrale photovoltaïque au sol sur structures fixes inclinées à 15° et orientées vers le sud et d’une hauteur de 2,60m. 

Il se situe sur la commune Le Mazet-Saint-Voy, sur une emprise clôturée totale de 3,95 ha. En plus des structures supportant les modules, le projet comprend un poste de conversion et un poste de livraison.

Le projet s’inscrit sur un site dégradé, une ancienne carrière d’extraction de matériaux. À l’initiative de la Mairie du Mazet-Saint-Voy, les parcelles ont été classées en zone constructible dédiée à l’implantation d’un parc solaire, témoignant de la volonté locale de favoriser le développement des énergies renouvelables. Le projet de parc photovoltaïque permettra donc la valorisation d’un site aujourd’hui dégradé et sans vocation agricole.

Des secteurs sensibles (notamment d’un point de vue écologique) ont été exclus de toute implantation (zone humide, mares et ruissellements, corridor écologique, haies) et des mesures de prévention des pollutions accidentelles et de protection de la biodiversité en phase de chantier et d’exploitation ont été proposées.

Enfin, pour préserver le cadre rural et forestier dans lequel s’insère le projet, celui-ci a été pensé de manière à permettre une intégration paysagère optimale. Les structures (clôtures, poste de livraison) arboreront une couleur gris pierre, et les haies arbustives entourant le site seront conservées. Ainsi, les masques végétaux dissimulent efficacement le site depuis les hameaux environnants ou la route départementale.

Avec la mise en oeuvre de ces mesures, les impacts résiduels prévisibles du chantier et de l’exploitation de la centrale photovoltaïque ont pu être évalués à un niveau faible, ce qui valide l’ensemble des efforts engagés pour intégrer le projet dans son environnement physique, naturel, paysager et humain.";Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;"Autorisation au titre du code de l'environnement;Permis de construire";;;IDE ENVIRONNEMENT;CGDD - MTES;2019-11-27T17:27:39+01:00;téléprocédure demarches-simplifiées;05/10/2019;43 - Haute-Loire;22/10/2019;22/11/2019;848377040
Projet d'aménagement de Brazza à Bordeaux;Le projet Brazza s'étend sur 53 hectares de friches industrielles en cœur d'agglomération, il a comme objectif de faire muter une zone monofonctionnelle d'activités en un quartier urbain mixte développant 468 500 m² de surface de plancher et accueillant une programmation économique plus diversifiée (activités, bureaux, commerces, hôtellerie, loisirs) mais également des logements et des équipements publics. Ce secteur est situé dans le lit majeur de la Garonne, en rive droite, le projet peut de ce fait avoir un impact sur cette zone inondable. Par ailleurs, l'histoire industrielle de ce secteur nécessite une gestion des terres polluées au regard des nouveaux usages liés au projet urbain. Enfin, ce secteur étant en friche depuis plusieurs années, des espèces végétales et animales s'y sont installées. Le projet peut donc avoir un impact sur celles-ci et leur habitat.;Travaux, constructions et opérations d'aménagement;URBANISME ET CONSTRUCTION;non defini;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2020-01-06T11:56:38+01:00;téléprocédure demarches-simplifiées;;33 - Gironde;;;800159907
Projet éolien des Avaloirs;Implantation de 3 éoliennes et d'1 poste de livraison;Installations classées pour la protection de l'environnement;ÉNERGIE;clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2018-12-03T18:22:24+01:00;téléprocédure demarches-simplifiées;01/06/2018;53 - Mayenne;18/06/2018;18/07/2018;445330103
Plan de Gestion pluriannuel des opérations de dragages de l'UHC3 (canal de Roanne à Digoin et canal latéral à la Loire);Le PGPOD est un document de programmation des opérations de dragages d'entretien pour permettre aux canaux d'offrir le mouillage nécessaire à la navigation. Il a une durée de 10 ans.;Extraction de minéraux par dragage marin ou fluvial;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;BIOTOPE;CGDD - MTES;2019-12-27T10:00:52+01:00;téléprocédure demarches-simplifiées;23/02/2019;58 - Nièvre;12/03/2019;18/04/2019;829597251
Exploitation d'un forage d'eau potable du château d'eau N°2 communes de SAUMOS et LE TEMPLE;prélèvement, production et distribution d'eau potable - Mise en place des périmètres de protection;Travaux, ouvrages et aménagements réalisés en vue de l'exploitation d'eau destinée à la consommation humaine dans une forêt de protection;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2020-01-06T11:27:21+01:00;téléprocédure demarches-simplifiées;22/06/2019;33 - Gironde;08/07/2019;08/08/2019;518428149
Création d'un entrepôt de stockage sur le parc d'activité du Plateau à Ploisy 02200;"Le projet présenté est la construction d’un entrepôt logistique de 40 680 m² sur le parc d'activités du Plateau, sur la commune de Ploisy (02). La superficie du terrain est de 83 543 m².

L’entrepôt, sera constitué :

- d’un entrepôt permettant les activités de stockage, de gestion des stocks, de gestion des flux amont/aval, de préparation de commande, de conditionnement à façon puis de distribution,

-  d’une zone de bureaux et locaux sociaux,

- de locaux techniques (locaux de charges, local sprinkler, TGBT, chaufferie, …).

L’établissement est conçu pour des activités de logistique et de stockage de matériaux combustibles non dangereux. Ce projet a déjà fait l’objet d’une instruction via une demande d’autorisation d’exploiter un ensemble de 2 bâtiments logistiques le 23 octobre 2006. Cette demande avait abouti à un arrêté préfectoral d’autorisation d’exploiter N°9926 du 20/06/2007.";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-02-11T17:07:22+01:00;téléprocédure demarches-simplifiées;;02 - Aisne;11/02/2019;13/03/2019;848962379
